Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
13472,154,90,0,0,90,90,0,0
13473,349,272,39,9,333,272,39,9
13475,0,0,0,0,0,0,0,0
13476,1418,1204,152,0,1379,1204,152,0
13477,956,820,45,0,910,820,45,0
13478,1447,1368,51,0,1419,1368,51,0
13480,1573,1295,184,0,1552,1295,184,0
13483,122,99,22,0,121,99,22,0
13484,92,80,12,0,92,80,12,0
13485,400,307,42,0,365,307,42,0
13486,288,275,0,0,275,275,0,0
13488,109,87,0,0,89,87,0,0
13489,238,204,18,0,234,204,18,0
13490,746,613,58,0,671,613,58,0
13491,1640,1212,202,12,1528,1212,202,12
13492,5584,5050,375,56,5510,5050,375,56
13493,843,654,132,8,830,654,132,8
13494,150,132,4,0,143,132,4,0
13495,923,798,71,2,910,798,71,2
13501,13422,9952,1879,323,13091,9952,1879,323
13502,14969,11671,1572,388,14625,11671,1572,388
13601,17624,13746,2294,249,17166,13746,2294,249
13602,2532,655,584,14,2150,655,584,14
13603,3807,2755,668,39,3706,2755,668,39
13605,2168,1689,351,5,2113,1689,351,5
13606,1623,1381,114,3,1569,1381,114,3
13607,728,488,79,0,659,488,79,0
13608,654,533,82,3,632,533,82,3
13612,1376,1233,85,0,1338,1233,85,0
13613,980,757,120,0,919,757,120,0
13614,64,64,0,0,64,64,0,0
13615,541,516,10,0,535,516,10,0
13616,896,746,35,0,866,746,35,0
13617,4694,2908,312,2,4363,2908,312,2
13618,720,492,68,0,628,492,68,0
13619,5107,4317,505,10,4926,4317,505,10
13620,807,650,62,0,735,650,62,0
13621,257,209,33,11,257,209,33,11
13622,1279,1001,69,4,1156,1001,69,4
13623,54,45,3,3,51,45,3,3
13624,2298,1850,255,6,2217,1850,255,6
13625,788,672,56,0,737,672,56,0
13626,936,765,46,5,897,765,46,5
13628,150,134,8,0,150,134,8,0
13630,765,497,201,0,707,497,201,0
13633,187,130,8,0,168,130,8,0
13634,1810,1563,197,0,1800,1563,197,0
13635,334,304,8,5,322,304,8,5
13636,124,96,24,0,122,96,24,0
13637,1883,1504,172,6,1819,1504,172,6
13638,166,114,52,0,166,114,52,0
13639,49,41,5,0,46,41,5,0
13640,113,48,42,0,90,48,42,0
13641,26,26,0,0,26,26,0,0
13642,3560,2820,381,0,3387,2820,381,0
13643,29,29,0,0,29,29,0,0
13646,1203,757,222,15,1059,757,222,15
13647,17,17,0,0,17,17,0,0
13648,1011,823,128,0,1006,823,128,0
13650,432,324,35,2,407,324,35,2
13651,109,100,4,2,109,100,4,2
13652,622,481,85,0,607,481,85,0
13654,982,735,89,0,912,735,89,0
13655,1293,1185,79,0,1270,1185,79,0
13656,1344,1011,111,0,1204,1011,111,0
13658,984,784,69,0,945,784,69,0
13659,225,193,17,0,214,193,17,0
13660,1001,844,66,4,932,844,66,4
13661,726,586,101,0,697,586,101,0
13662,7306,5761,918,13,7110,5761,918,13
13664,265,200,13,4,252,200,13,4
13665,243,233,10,0,243,233,10,0
13666,93,74,10,0,84,74,10,0
13667,1239,947,193,0,1184,947,193,0
13668,1491,1182,139,2,1432,1182,139,2
13669,6313,4851,866,30,6144,4851,866,30
13670,150,119,16,0,135,119,16,0
13672,144,108,8,0,134,108,8,0
13673,1138,982,102,0,1112,982,102,0
13674,61,61,0,0,61,61,0,0
13675,0,0,0,0,0,0,0,0
13676,6865,4348,484,0,6394,4348,484,0
13677,35,0,35,0,35,0,35,0
13678,49,49,0,0,49,49,0,0
13679,710,492,141,2,644,492,141,2
13680,469,388,21,0,429,388,21,0
13681,362,253,71,5,354,253,71,5
13682,386,308,50,0,363,308,50,0
13684,453,385,52,0,439,385,52,0
13685,1173,908,82,6,1095,908,82,6
13687,217,177,27,0,210,177,27,0
13690,379,258,27,1,322,258,27,1
13691,1322,1004,248,0,1288,1004,248,0
13692,9,5,0,0,9,5,0,0
13693,175,162,0,0,162,162,0,0
13694,582,517,30,9,569,517,30,9
13695,28,12,10,0,25,12,10,0
13696,0,0,0,0,0,0,0,0
13697,901,611,90,0,795,611,90,0
13730,1346,938,226,36,1278,938,226,36
13731,391,234,29,30,353,234,29,30
13732,4217,3785,241,11,4091,3785,241,11
13733,2522,1906,276,38,2340,1906,276,38
13734,1264,1143,109,0,1264,1143,109,0
13736,1024,763,184,12,966,763,184,12
13739,441,339,45,0,397,339,45,0
13740,199,137,17,8,171,137,17,8
13743,1784,1555,113,11,1775,1555,113,11
13744,754,623,26,9,722,623,26,9
13746,1126,1059,59,0,1118,1059,59,0
